時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/30 08:16:46,181,0,現金,VM14258109,,百味俱樂部堡6吋(1)|A套餐(1)
2025/12/30 08:19:01,98,0,現金,VM14258110,,套餐培根起司蛋(1)
2025/12/30 08:23:17,100,0,現金,VM14258111,,套餐火腿起司蛋(1)
2025/12/30 08:27:47,120,0,信用卡,VM14258112,,套餐厚牛起司蛋(1)
2025/12/30 08:33:01,107,0,現金,VM14258113,,火腿起司蛋堡(1)|蜜桃果茶(1)
2025/12/30 08:34:08,102,0,現金,VM14258114,,辣牛沙拉捲餅(1)
2025/12/30 08:40:24,303,0,現金,VM14258115,,雙重起司厚牛6吋(1)|鮮嫩雞柳堡6吋(1)|培根1條(1)
2025/12/30 08:46:47,160,0,現金,VM14258116,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/12/30 09:02:30,392,0,信用卡,VM14258117,,嫩雞沙拉捲餅(1)|嫩雞沙拉捲餅(1)|鮮嫩雞柳雙份肉料(1)|鮮嫩雞柳雙份肉料(1)|D套餐(1)
2025/12/30 09:23:49,160,0,信用卡,VM14258118,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2025/12/30 09:39:18,78,0,Line Pay,VM14258119,,套餐起司蛋(1)
2025/12/30 09:41:10,78,0,現金,VM14258120,,套餐起司蛋(1)
2025/12/30 09:47:33,177,0,信用卡,VM14258121,,套餐厚牛起司蛋(1)|蘑菇濃湯(1)
2025/12/30 09:49:03,237,0,UberEats,VM14258122,,6吋義大利經典潛艇堡 6-Inch Italian B.M.T.TM Sub(1)
2025/12/30 09:59:40,98,0,現金,VM14258123,,套餐培根起司蛋(1)
2025/12/30 10:02:00,216,0,現金,VM14258124,,套餐厚牛起司蛋(1)|套餐厚牛起司蛋(1)
